id_usuario,fecha_acta,tipo_irregularidad,energia_no_facturada_kwh
302,2024-03-31 12:16:35.649337,Manipulación de medidor,720.2494934693378
349,2024-08-31 12:16:35.649337,Bypass,643.8847290662441
38,2024-08-31 12:16:35.649337,Manipulación de medidor,707.9408011078276
277,2025-08-31 12:16:35.649337,Conexión directa,796.7712150135827
731,2024-04-30 12:16:35.649337,Conexión directa,853.5492247474683
441,2024-01-31 12:16:35.649337,Bypass,690.0491770306473
569,2025-11-30 12:16:35.649337,Manipulación de medidor,1071.7281706943184
278,2025-01-31 12:16:35.649337,Manipulación de medidor,944.5316578863985
570,2025-05-31 12:16:35.649337,Bypass,1167.8082735644305
525,2025-05-31 12:16:35.649337,Conexión directa,854.3403768891576
425,2024-03-31 12:16:35.649337,Conexión directa,618.2718300656758
275,2023-12-31 12:16:35.649337,Manipulación de medidor,618.2614481311059
774,2024-10-31 12:16:35.649337,Conexión directa,709.3791725138092
338,2025-11-30 12:16:35.649337,Conexión directa,723.0098020483849
155,2024-03-31 12:16:35.649337,Manipulación de medidor,604.917362358377
124,2025-10-31 12:16:35.649337,Manipulación de medidor,697.3635688723989
452,2024-12-31 12:16:35.649337,Bypass,892.5158049095063
749,2024-01-31 12:16:35.649337,Bypass,862.202502750565
60,2025-08-31 12:16:35.649337,Manipulación de medidor,725.9936144315911
135,2025-04-30 12:16:35.649337,Manipulación de medidor,898.6953884478439
251,2025-07-31 12:16:35.649337,Conexión directa,1020.4351543425349
206,2024-01-31 12:16:35.649337,Conexión directa,737.7334792904678
179,2024-05-31 12:16:35.649337,Manipulación de medidor,649.3471855601556
4,2025-07-31 12:16:35.649337,Conexión directa,1034.9089679901342
374,2025-02-28 12:16:35.649337,Manipulación de medidor,675.4496760684017
267,2025-11-30 12:16:35.649337,Conexión directa,922.668672501077
254,2024-08-31 12:16:35.649337,Bypass,823.5327200077069
279,2024-11-30 12:16:35.649337,Manipulación de medidor,732.8719804113824
376,2024-04-30 12:16:35.649337,Conexión directa,708.2119472795366
216,2024-07-31 12:16:35.649337,Manipulación de medidor,660.6422915039117
106,2024-02-29 12:16:35.649337,Conexión directa,822.4406838363238
247,2024-12-31 12:16:35.649337,Manipulación de medidor,718.7598280348564
176,2025-03-31 12:16:35.649337,Bypass,661.086906425004
553,2024-11-30 12:16:35.649337,Conexión directa,661.1422672607699
741,2024-10-31 12:16:35.649337,Manipulación de medidor,880.578136212289
271,2024-07-31 12:16:35.649337,Conexión directa,605.8243545423439
56,2024-04-30 12:16:35.649337,Conexión directa,838.108162368467
264,2024-06-30 12:16:35.649337,Manipulación de medidor,652.4657668365817
259,2025-11-30 12:16:35.649337,Bypass,822.0959829053953
332,2024-05-31 12:16:35.649337,Manipulación de medidor,1065.0787486230943
138,2024-07-31 12:16:35.649337,Bypass,747.6066944515755
352,2025-03-31 12:16:35.649337,Bypass,654.7574508489665
199,2025-09-30 12:16:35.649337,Conexión directa,1155.2780762494265
680,2023-12-31 12:16:35.649337,Bypass,714.176322091523
523,2025-06-30 12:16:35.649337,Bypass,962.0754441047027
180,2025-08-31 12:16:35.649337,Conexión directa,698.358924386014
182,2024-01-31 12:16:35.649337,Manipulación de medidor,909.3057206017648
219,2024-02-29 12:16:35.649337,Conexión directa,706.0792904007617
505,2024-03-31 12:16:35.649337,Manipulación de medidor,633.8032377535453
720,2024-08-31 12:16:35.649337,Manipulación de medidor,750.6220310015732
102,2023-12-31 12:16:35.649337,Bypass,676.8117268985102
750,2025-04-30 12:16:35.649337,Conexión directa,1019.5254830873336
726,2025-05-31 12:16:35.649337,Bypass,720.0266766652345
40,2025-04-30 12:16:35.649337,Manipulación de medidor,744.7034624178482
76,2025-11-30 12:16:35.649337,Manipulación de medidor,713.1177135980248
297,2024-07-31 12:16:35.649337,Manipulación de medidor,847.9070197490017
612,2025-04-30 12:16:35.649337,Bypass,612.3710342882717
380,2024-02-29 12:16:35.649337,Bypass,742.4317362440887
157,2025-03-31 12:16:35.649337,Conexión directa,631.108388068625
284,2024-06-30 12:16:35.649337,Manipulación de medidor,602.8420382441227
527,2023-12-31 12:16:35.649337,Conexión directa,689.7636504809395
114,2025-08-31 12:16:35.649337,Bypass,777.8440576162233
366,2025-08-31 12:16:35.649337,Bypass,861.582962832294
20,2024-09-30 12:16:35.649337,Manipulación de medidor,1260.4259950791416
23,2025-03-31 12:16:35.649337,Manipulación de medidor,703.9936418062814
567,2024-09-30 12:16:35.649337,Manipulación de medidor,655.0383553288907
649,2025-10-31 12:16:35.649337,Manipulación de medidor,827.3677617259533
409,2024-09-30 12:16:35.649337,Conexión directa,913.9128525813765
33,2024-09-30 12:16:35.649337,Bypass,635.4761983941854
276,2024-09-30 12:16:35.649337,Conexión directa,676.6147579112397
693,2025-04-30 12:16:35.649337,Conexión directa,727.645987847232
171,2025-02-28 12:16:35.649337,Bypass,867.542490393336
520,2025-08-31 12:16:35.649337,Conexión directa,829.160767239287
284,2024-08-31 12:16:35.649337,Bypass,873.6304173658466
89,2024-08-31 12:16:35.649337,Bypass,753.1222593632642
432,2025-06-30 12:16:35.649337,Bypass,714.210340239274
657,2025-10-31 12:16:35.649337,Bypass,649.9954156836737
492,2024-12-31 12:16:35.649337,Bypass,778.1454489445333
85,2024-04-30 12:16:35.649337,Bypass,629.249935954176
315,2024-08-31 12:16:35.649337,Manipulación de medidor,716.106124558741
54,2024-06-30 12:16:35.649337,Conexión directa,1139.765583027102
391,2024-03-31 12:16:35.649337,Manipulación de medidor,689.0948590957311
30,2024-06-30 12:16:35.649337,Manipulación de medidor,737.9055094809278
539,2024-03-31 12:16:35.649337,Bypass,1604.1369407415455
530,2024-02-29 12:16:35.649337,Bypass,1082.7384513374168
277,2025-04-30 12:16:35.649337,Manipulación de medidor,746.8750709975423
672,2025-03-31 12:16:35.649337,Manipulación de medidor,768.6484085822799
372,2023-12-31 12:16:35.649337,Conexión directa,1021.1402493237982
459,2024-11-30 12:16:35.649337,Manipulación de medidor,871.4652705685737
211,2024-10-31 12:16:35.649337,Conexión directa,625.2979638487692
225,2024-09-30 12:16:35.649337,Bypass,1203.624196561575
172,2024-06-30 12:16:35.649337,Manipulación de medidor,795.3464328314249
141,2025-08-31 12:16:35.649337,Manipulación de medidor,802.8787120324018
73,2025-07-31 12:16:35.649337,Manipulación de medidor,775.4111759095987
155,2025-05-31 12:16:35.649337,Manipulación de medidor,1030.6265271165166
496,2025-08-31 12:16:35.649337,Manipulación de medidor,1273.0814557317995
346,2024-05-31 12:16:35.649337,Conexión directa,732.3237565959155
413,2023-12-31 12:16:35.649337,Bypass,655.9129928460873
380,2025-01-31 12:16:35.649337,Bypass,627.0890231307111
144,2024-11-30 12:16:35.649337,Conexión directa,703.2014249827331
582,2024-10-31 12:16:35.649337,Bypass,753.3988817284492
292,2024-08-31 12:16:35.649337,Bypass,853.9190893103923
451,2024-04-30 12:16:35.649337,Manipulación de medidor,1082.8521012152466
628,2024-06-30 12:16:35.649337,Manipulación de medidor,1472.2420659372738
16,2024-07-31 12:16:35.649337,Conexión directa,770.8622364316543
465,2024-06-30 12:16:35.649337,Conexión directa,732.6442058028006
244,2024-03-31 12:16:35.649337,Bypass,775.3451187093675
510,2025-01-31 12:16:35.649337,Bypass,696.875017725404
460,2025-08-31 12:16:35.649337,Conexión directa,1040.542079062779
345,2024-02-29 12:16:35.649337,Bypass,787.9887571025154
224,2025-08-31 12:16:35.649337,Conexión directa,791.9932625624334
739,2024-11-30 12:16:35.649337,Manipulación de medidor,668.2503480771356
551,2024-11-30 12:16:35.649337,Bypass,1060.9284404073776
306,2023-12-31 12:16:35.649337,Manipulación de medidor,621.467041930809
259,2024-10-31 12:16:35.649337,Conexión directa,888.9612747973512
696,2025-05-31 12:16:35.649337,Bypass,601.8809589660275
602,2025-07-31 12:16:35.649337,Manipulación de medidor,742.9269594888203
344,2025-11-30 12:16:35.649337,Bypass,884.903988529922
694,2024-05-31 12:16:35.649337,Bypass,632.371621136032
178,2024-02-29 12:16:35.649337,Bypass,806.7286051315182
120,2024-04-30 12:16:35.649337,Conexión directa,624.740426950499
686,2025-03-31 12:16:35.649337,Manipulación de medidor,696.1151373476227
337,2025-11-30 12:16:35.649337,Manipulación de medidor,690.7668441736588
783,2024-02-29 12:16:35.649337,Conexión directa,894.7310015283158
167,2024-11-30 12:16:35.649337,Manipulación de medidor,674.216858881251
300,2024-09-30 12:16:35.649337,Conexión directa,727.7919405719878
285,2024-01-31 12:16:35.649337,Manipulación de medidor,882.4834332796972
208,2025-11-30 12:16:35.649337,Bypass,671.7827103341378
226,2025-02-28 12:16:35.649337,Conexión directa,841.5521978725674
125,2024-12-31 12:16:35.649337,Manipulación de medidor,953.8223902360414
671,2025-11-30 12:16:35.649337,Conexión directa,1046.682638552863
658,2024-07-31 12:16:35.649337,Manipulación de medidor,758.2993970545053
628,2024-02-29 12:16:35.649337,Conexión directa,716.4488652714557
359,2025-01-31 12:16:35.649337,Conexión directa,765.2840161567548
393,2024-11-30 12:16:35.649337,Conexión directa,693.7514839593337
520,2025-07-31 12:16:35.649337,Manipulación de medidor,1441.637882682528
536,2023-12-31 12:16:35.649337,Conexión directa,780.6489255625058
301,2024-09-30 12:16:35.649337,Manipulación de medidor,868.1475171887427
688,2024-03-31 12:16:35.649337,Conexión directa,658.0132087024783
423,2024-06-30 12:16:35.649337,Manipulación de medidor,1290.9044042863534
750,2024-12-31 12:16:35.649337,Conexión directa,1300.7991131480887
273,2025-03-31 12:16:35.649337,Conexión directa,764.0892948089623
121,2024-05-31 12:16:35.649337,Conexión directa,1006.748530479431
770,2024-10-31 12:16:35.649337,Manipulación de medidor,874.5924470848779
103,2025-11-30 12:16:35.649337,Bypass,1295.765145979401
153,2025-03-31 12:16:35.649337,Manipulación de medidor,900.317159930473
136,2024-05-31 12:16:35.649337,Conexión directa,688.43138064774
66,2025-07-31 12:16:35.649337,Bypass,811.0241504943177
146,2024-07-31 12:16:35.649337,Manipulación de medidor,704.8474582911352
639,2024-02-29 12:16:35.649337,Conexión directa,686.3995328886094
282,2024-11-30 12:16:35.649337,Conexión directa,718.2968830253515
236,2024-01-31 12:16:35.649337,Conexión directa,809.1139657931117
631,2025-07-31 12:16:35.649337,Manipulación de medidor,756.575484268174
485,2024-02-29 12:16:35.649337,Manipulación de medidor,893.0303172902929
470,2024-03-31 12:16:35.649337,Conexión directa,739.3856468157849
488,2024-02-29 12:16:35.649337,Manipulación de medidor,760.4472218619801
404,2023-12-31 12:16:35.649337,Manipulación de medidor,721.3167895277102
290,2024-05-31 12:16:35.649337,Bypass,709.9105195008406
186,2024-08-31 12:16:35.649337,Bypass,774.7936296760406
263,2025-06-30 12:16:35.649337,Manipulación de medidor,821.7827220828457
569,2024-09-30 12:16:35.649337,Manipulación de medidor,658.5634979150789
522,2024-10-31 12:16:35.649337,Bypass,1255.7426342645572
461,2024-06-30 12:16:35.649337,Bypass,1072.9680924952638
33,2024-07-31 12:16:35.649337,Conexión directa,849.6097978131484
266,2024-02-29 12:16:35.649337,Manipulación de medidor,719.7253549427809
89,2024-09-30 12:16:35.649337,Manipulación de medidor,871.7186893215802
423,2025-03-31 12:16:35.649337,Conexión directa,706.8525864030811
182,2024-09-30 12:16:35.649337,Bypass,1068.8712476709773
83,2024-04-30 12:16:35.649337,Conexión directa,1215.477482406823
139,2025-05-31 12:16:35.649337,Manipulación de medidor,649.4651514930734
769,2024-07-31 12:16:35.649337,Manipulación de medidor,981.4413710620352
644,2025-01-31 12:16:35.649337,Conexión directa,815.3895844778119
792,2024-10-31 12:16:35.649337,Conexión directa,1216.116900382097
200,2025-06-30 12:16:35.649337,Manipulación de medidor,1090.2422078084335
683,2025-07-31 12:16:35.649337,Conexión directa,620.5594517887089
227,2024-02-29 12:16:35.649337,Conexión directa,995.8378058843812
509,2024-08-31 12:16:35.649337,Conexión directa,744.9879144120097
73,2024-01-31 12:16:35.649337,Bypass,722.8984724177108
622,2025-01-31 12:16:35.649337,Manipulación de medidor,646.1373948057518
322,2025-07-31 12:16:35.649337,Conexión directa,1033.897107038741
63,2025-07-31 12:16:35.649337,Bypass,1181.6192726536035
168,2025-05-31 12:16:35.649337,Conexión directa,1261.2329634423247
521,2025-08-31 12:16:35.649337,Bypass,713.9456479897966
107,2025-10-31 12:16:35.649337,Conexión directa,643.5726202321302
309,2025-10-31 12:16:35.649337,Conexión directa,1008.3143328594633
772,2025-03-31 12:16:35.649337,Manipulación de medidor,748.3767122207607
705,2025-05-31 12:16:35.649337,Manipulación de medidor,644.7343926848764
463,2024-10-31 12:16:35.649337,Conexión directa,1318.6162546795467
710,2025-01-31 12:16:35.649337,Manipulación de medidor,819.6997496127341
719,2025-03-31 12:16:35.649337,Bypass,932.5840288787103
474,2024-08-31 12:16:35.649337,Manipulación de medidor,694.9766546362781
127,2025-11-30 12:16:35.649337,Conexión directa,963.1076414959768
602,2024-02-29 12:16:35.649337,Manipulación de medidor,625.5214517973751
494,2025-07-31 12:16:35.649337,Manipulación de medidor,684.1759969178407
438,2025-08-31 12:16:35.649337,Bypass,660.5000115578672
227,2025-05-31 12:16:35.649337,Conexión directa,754.9851712153297
515,2024-02-29 12:16:35.649337,Conexión directa,820.873286394944
410,2025-05-31 12:16:35.649337,Manipulación de medidor,601.0144813555951
