id_usuario,tipo_usuario,estrato,barrio,estado
171,Residencial,5.0,Centro,Activo
172,Comercial,,Occidente,Activo
173,Comercial,,Centro,Activo
174,Residencial,6.0,Oriente,Activo
175,Residencial,6.0,Centro,Activo
176,Comercial,,Norte,Activo
177,Comercial,,Occidente,Activo
178,Comercial,,Occidente,Activo
179,Residencial,4.0,Norte,Activo
180,Comercial,,Norte,Activo
181,Residencial,2.0,Sur,Activo
182,Residencial,4.0,Centro,Activo
183,Residencial,3.0,Centro,Activo
184,Residencial,2.0,Oriente,Activo
185,Industrial,,Centro,Activo
186,Residencial,3.0,Centro,Activo
187,Residencial,3.0,Norte,Activo
188,Industrial,,Centro,Activo
189,Comercial,,Centro,Activo
190,Comercial,,Centro,Activo
191,Comercial,,Occidente,Activo
192,Residencial,1.0,Occidente,Activo
193,Residencial,4.0,Centro,Activo
194,Residencial,6.0,Sur,Activo
195,Residencial,1.0,Centro,Activo
196,Residencial,2.0,Sur,Activo
197,Comercial,,Sur,Activo
198,Industrial,,Centro,Activo
199,Residencial,6.0,Centro,Activo
200,Residencial,1.0,Centro,Activo
201,Residencial,6.0,Sur,Activo
202,Industrial,,Occidente,Activo
203,Comercial,,Oriente,Activo
204,Residencial,5.0,Occidente,Activo
205,Residencial,3.0,Norte,Activo
206,Residencial,3.0,Centro,Activo
207,Residencial,4.0,Occidente,Activo
208,Comercial,,Occidente,Activo
209,Residencial,4.0,Occidente,Activo
210,Residencial,2.0,Norte,Activo
211,Residencial,5.0,Centro,Activo
212,Industrial,,Occidente,Activo
213,Comercial,,Sur,Activo
214,Residencial,4.0,Centro,Activo
215,Residencial,3.0,Occidente,Activo
216,Residencial,5.0,Sur,Activo
217,Residencial,3.0,Centro,Activo
218,Residencial,1.0,Norte,Activo
219,Residencial,4.0,Norte,Activo
220,Industrial,,Occidente,Activo
221,Residencial,2.0,Norte,Activo
222,Residencial,3.0,Sur,Activo
223,Residencial,1.0,Oriente,Activo
224,Residencial,6.0,Centro,Activo
225,Residencial,5.0,Norte,Activo
226,Residencial,6.0,Occidente,Activo
227,Residencial,5.0,Norte,Activo
228,Residencial,1.0,Oriente,Activo
229,Residencial,5.0,Occidente,Activo
230,Residencial,5.0,Centro,Activo
231,Industrial,,Occidente,Activo
232,Comercial,,Occidente,Activo
233,Residencial,5.0,Occidente,Activo
234,Residencial,2.0,Sur,Activo
235,Comercial,,Sur,Activo
236,Comercial,,Sur,Activo
237,Comercial,,Oriente,Activo
238,Residencial,5.0,Centro,Activo
239,Comercial,,Centro,Activo
240,Comercial,,Norte,Activo
241,Residencial,2.0,Sur,Activo
242,Residencial,1.0,Occidente,Activo
243,Residencial,3.0,Sur,Activo
244,Residencial,6.0,Sur,Activo
245,Residencial,2.0,Oriente,Activo
246,Residencial,6.0,Sur,Activo
247,Residencial,1.0,Norte,Activo
248,Residencial,4.0,Occidente,Activo
249,Comercial,,Occidente,Activo
250,Residencial,1.0,Norte,Activo
251,Residencial,5.0,Sur,Activo
252,Comercial,,Sur,Activo
253,Residencial,2.0,Sur,Activo
254,Residencial,5.0,Centro,Activo
255,Residencial,3.0,Sur,Activo
256,Residencial,5.0,Oriente,Activo
257,Residencial,1.0,Oriente,Activo
258,Comercial,,Sur,Activo
259,Residencial,1.0,Centro,Activo
260,Residencial,5.0,Norte,Activo
261,Residencial,6.0,Sur,Activo
262,Comercial,,Centro,Activo
263,Residencial,4.0,Oriente,Activo
264,Residencial,3.0,Sur,Activo
265,Industrial,,Norte,Activo
266,Residencial,4.0,Oriente,Activo
267,Residencial,2.0,Centro,Activo
268,Residencial,1.0,Norte,Activo
269,Residencial,2.0,Centro,Activo
270,Industrial,,Sur,Activo
271,Residencial,5.0,Sur,Activo
272,Residencial,6.0,Centro,Activo
273,Residencial,1.0,Occidente,Activo
274,Comercial,,Oriente,Activo
275,Residencial,5.0,Centro,Activo
276,Residencial,2.0,Occidente,Activo
277,Residencial,2.0,Centro,Activo
278,Residencial,6.0,Occidente,Activo
279,Residencial,6.0,Norte,Activo
280,Residencial,1.0,Occidente,Activo
281,Residencial,2.0,Norte,Activo
282,Residencial,6.0,Norte,Activo
283,Residencial,3.0,Occidente,Activo
284,Residencial,1.0,Occidente,Activo
285,Residencial,4.0,Oriente,Activo
286,Industrial,,Norte,Activo
287,Residencial,3.0,Norte,Activo
288,Comercial,,Sur,Activo
289,Residencial,4.0,Centro,Activo
290,Comercial,,Occidente,Activo
291,Comercial,,Centro,Activo
292,Residencial,2.0,Norte,Activo
293,Comercial,,Centro,Activo
294,Residencial,3.0,Occidente,Activo
295,Residencial,1.0,Centro,Activo
296,Residencial,3.0,Norte,Activo
297,Residencial,3.0,Norte,Activo
298,Residencial,1.0,Sur,Activo
299,Comercial,,Norte,Activo
300,Residencial,5.0,Sur,Activo
301,Residencial,3.0,Occidente,Activo
302,Residencial,1.0,Occidente,Activo
303,Industrial,,Norte,Activo
304,Residencial,1.0,Occidente,Activo
305,Comercial,,Oriente,Activo
306,Residencial,4.0,Centro,Activo
307,Residencial,6.0,Sur,Activo
308,Comercial,,Oriente,Activo
309,Residencial,2.0,Centro,Activo
310,Residencial,3.0,Occidente,Activo
311,Residencial,5.0,Centro,Activo
312,Residencial,6.0,Occidente,Activo
313,Residencial,6.0,Centro,Activo
314,Comercial,,Norte,Activo
315,Residencial,3.0,Oriente,Activo
316,Residencial,2.0,Norte,Activo
317,Industrial,,Centro,Activo
318,Residencial,4.0,Norte,Activo
319,Residencial,5.0,Occidente,Activo
320,Comercial,,Centro,Activo
321,Residencial,1.0,Sur,Activo
322,Residencial,5.0,Occidente,Activo
323,Industrial,,Sur,Activo
324,Residencial,6.0,Occidente,Activo
325,Industrial,,Centro,Activo
326,Residencial,3.0,Occidente,Activo
327,Industrial,,Oriente,Activo
328,Industrial,,Occidente,Activo
329,Residencial,3.0,Sur,Activo
330,Residencial,6.0,Occidente,Activo
331,Residencial,6.0,Norte,Activo
332,Comercial,,Oriente,Activo
333,Comercial,,Occidente,Activo
334,Residencial,3.0,Sur,Activo
335,Residencial,4.0,Sur,Activo
336,Comercial,,Oriente,Activo
337,Residencial,4.0,Oriente,Activo
338,Residencial,5.0,Occidente,Activo
339,Comercial,,Sur,Activo
340,Residencial,1.0,Oriente,Activo
341,Residencial,2.0,Centro,Activo
342,Comercial,,Norte,Activo
343,Comercial,,Norte,Activo
344,Residencial,2.0,Oriente,Activo
345,Residencial,6.0,Oriente,Activo
346,Residencial,6.0,Oriente,Activo
347,Comercial,,Norte,Activo
348,Comercial,,Oriente,Activo
349,Residencial,3.0,Centro,Activo
350,Residencial,4.0,Norte,Activo
351,Industrial,,Sur,Activo
352,Residencial,6.0,Sur,Activo
353,Residencial,5.0,Norte,Activo
354,Industrial,,Occidente,Activo
355,Comercial,,Oriente,Activo
356,Comercial,,Norte,Activo
357,Comercial,,Sur,Activo
358,Residencial,6.0,Norte,Activo
359,Residencial,1.0,Occidente,Activo
360,Comercial,,Oriente,Activo
361,Residencial,4.0,Sur,Activo
362,Comercial,,Oriente,Activo
363,Residencial,2.0,Occidente,Activo
364,Residencial,4.0,Norte,Activo
365,Comercial,,Occidente,Activo
366,Residencial,4.0,Norte,Activo
367,Industrial,,Centro,Activo
368,Residencial,5.0,Oriente,Activo
369,Residencial,6.0,Centro,Activo
370,Comercial,,Norte,Activo
371,Residencial,4.0,Centro,Activo
372,Residencial,6.0,Sur,Activo
373,Residencial,3.0,Occidente,Activo
374,Residencial,6.0,Centro,Activo
375,Residencial,1.0,Sur,Activo
376,Residencial,4.0,Centro,Activo
377,Industrial,,Norte,Activo
378,Residencial,6.0,Centro,Activo
379,Comercial,,Oriente,Activo
380,Residencial,5.0,Occidente,Activo
381,Residencial,2.0,Norte,Activo
382,Residencial,3.0,Occidente,Activo
383,Residencial,3.0,Oriente,Activo
384,Residencial,3.0,Centro,Activo
385,Residencial,1.0,Norte,Activo
386,Residencial,5.0,Occidente,Activo
387,Residencial,5.0,Norte,Activo
388,Comercial,,Norte,Activo
389,Comercial,,Sur,Activo
390,Comercial,,Centro,Activo
391,Residencial,1.0,Sur,Activo
392,Industrial,,Centro,Activo
393,Residencial,4.0,Oriente,Activo
394,Residencial,2.0,Centro,Activo
395,Residencial,2.0,Occidente,Activo
396,Industrial,,Oriente,Activo
397,Residencial,4.0,Norte,Activo
398,Industrial,,Oriente,Activo
399,Comercial,,Occidente,Activo
400,Residencial,1.0,Centro,Activo
401,Comercial,,Centro,Activo
402,Industrial,,Oriente,Activo
403,Industrial,,Sur,Activo
404,Comercial,,Sur,Activo
405,Comercial,,Oriente,Activo
406,Residencial,2.0,Centro,Activo
407,Comercial,,Centro,Activo
408,Comercial,,Norte,Activo
409,Residencial,4.0,Oriente,Activo
410,Comercial,,Centro,Activo
411,Residencial,6.0,Occidente,Activo
412,Residencial,2.0,Sur,Activo
413,Comercial,,Sur,Activo
414,Residencial,3.0,Sur,Activo
415,Residencial,4.0,Sur,Activo
416,Comercial,,Occidente,Activo
417,Residencial,5.0,Sur,Activo
418,Comercial,,Oriente,Activo
419,Comercial,,Occidente,Activo
420,Residencial,4.0,Occidente,Activo
421,Residencial,2.0,Centro,Activo
422,Residencial,6.0,Sur,Activo
423,Residencial,5.0,Norte,Activo
424,Comercial,,Sur,Activo
425,Residencial,1.0,Occidente,Activo
426,Comercial,,Centro,Activo
427,Comercial,,Oriente,Activo
428,Industrial,,Sur,Activo
429,Residencial,1.0,Norte,Activo
430,Residencial,2.0,Sur,Activo
431,Comercial,,Occidente,Activo
432,Residencial,1.0,Oriente,Activo
433,Residencial,6.0,Norte,Activo
434,Comercial,,Oriente,Activo
435,Residencial,2.0,Norte,Activo
436,Comercial,,Oriente,Activo
437,Residencial,5.0,Occidente,Activo
438,Residencial,1.0,Norte,Activo
439,Comercial,,Sur,Activo
440,Comercial,,Norte,Activo
441,Residencial,3.0,Sur,Activo
442,Residencial,2.0,Sur,Activo
443,Residencial,3.0,Occidente,Activo
444,Industrial,,Norte,Activo
445,Residencial,6.0,Norte,Activo
446,Comercial,,Oriente,Activo
447,Industrial,,Occidente,Activo
448,Residencial,2.0,Sur,Activo
449,Residencial,3.0,Centro,Activo
450,Comercial,,Centro,Activo
451,Comercial,,Occidente,Activo
452,Residencial,4.0,Norte,Activo
453,Comercial,,Centro,Activo
454,Comercial,,Centro,Activo
455,Residencial,6.0,Centro,Activo
456,Residencial,3.0,Sur,Activo
457,Residencial,2.0,Sur,Activo
458,Residencial,1.0,Norte,Activo
459,Residencial,4.0,Occidente,Activo
460,Residencial,5.0,Centro,Activo
461,Residencial,5.0,Centro,Activo
462,Residencial,5.0,Centro,Activo
463,Residencial,5.0,Centro,Activo
464,Residencial,6.0,Oriente,Activo
465,Comercial,,Oriente,Activo
466,Residencial,4.0,Occidente,Activo
467,Residencial,6.0,Sur,Activo
468,Residencial,5.0,Oriente,Activo
469,Residencial,2.0,Oriente,Activo
470,Residencial,6.0,Centro,Activo
471,Residencial,1.0,Norte,Activo
472,Residencial,4.0,Oriente,Activo
473,Residencial,3.0,Norte,Activo
474,Comercial,,Sur,Activo
475,Comercial,,Centro,Activo
476,Residencial,3.0,Occidente,Activo
477,Industrial,,Norte,Activo
478,Residencial,2.0,Norte,Activo
479,Residencial,6.0,Oriente,Activo
480,Residencial,6.0,Centro,Activo
481,Industrial,,Sur,Activo
482,Residencial,2.0,Centro,Activo
483,Residencial,4.0,Norte,Activo
484,Residencial,4.0,Norte,Activo
485,Residencial,4.0,Centro,Activo
486,Comercial,,Sur,Activo
487,Residencial,5.0,Sur,Activo
488,Residencial,6.0,Centro,Activo
489,Residencial,3.0,Sur,Activo
490,Industrial,,Oriente,Activo
491,Comercial,,Occidente,Activo
492,Residencial,1.0,Norte,Activo
493,Residencial,2.0,Occidente,Activo
494,Residencial,5.0,Norte,Activo
495,Residencial,5.0,Oriente,Activo
496,Residencial,1.0,Occidente,Activo
497,Residencial,1.0,Oriente,Activo
498,Industrial,,Centro,Activo
499,Residencial,3.0,Occidente,Activo
500,Residencial,6.0,Occidente,Activo
501,Residencial,4.0,Oriente,Activo
502,Residencial,6.0,Norte,Activo
503,Comercial,,Sur,Activo
504,Industrial,,Norte,Activo
505,Residencial,4.0,Norte,Activo
506,Comercial,,Occidente,Activo
507,Comercial,,Centro,Activo
508,Residencial,6.0,Oriente,Activo
509,Residencial,4.0,Occidente,Activo
510,Residencial,6.0,Oriente,Activo
511,Industrial,,Centro,Activo
512,Residencial,2.0,Centro,Activo
513,Industrial,,Occidente,Activo
514,Comercial,,Oriente,Activo
515,Comercial,,Norte,Activo
516,Industrial,,Centro,Activo
517,Residencial,2.0,Occidente,Activo
518,Residencial,2.0,Centro,Activo
519,Industrial,,Oriente,Activo
520,Residencial,2.0,Centro,Activo
521,Residencial,5.0,Norte,Activo
522,Residencial,4.0,Centro,Activo
523,Residencial,6.0,Occidente,Activo
524,Comercial,,Occidente,Activo
525,Residencial,6.0,Oriente,Activo
526,Industrial,,Centro,Activo
527,Comercial,,Occidente,Activo
528,Residencial,1.0,Oriente,Activo
529,Comercial,,Sur,Activo
530,Residencial,2.0,Centro,Activo
531,Residencial,5.0,Occidente,Activo
532,Industrial,,Norte,Activo
533,Comercial,,Centro,Activo
534,Residencial,2.0,Centro,Activo
535,Residencial,2.0,Oriente,Activo
536,Comercial,,Occidente,Activo
537,Comercial,,Occidente,Activo
538,Residencial,3.0,Occidente,Activo
539,Residencial,4.0,Norte,Activo
540,Comercial,,Occidente,Activo
541,Residencial,4.0,Occidente,Activo
542,Residencial,3.0,Centro,Activo
543,Residencial,4.0,Oriente,Activo
544,Residencial,3.0,Sur,Activo
545,Residencial,4.0,Norte,Activo
546,Industrial,,Oriente,Activo
547,Residencial,4.0,Oriente,Activo
548,Comercial,,Centro,Activo
549,Comercial,,Norte,Activo
550,Comercial,,Oriente,Activo
551,Residencial,2.0,Oriente,Activo
552,Comercial,,Centro,Activo
553,Residencial,1.0,Oriente,Activo
554,Residencial,3.0,Centro,Activo
555,Industrial,,Occidente,Activo
556,Industrial,,Sur,Activo
557,Residencial,6.0,Occidente,Activo
558,Residencial,1.0,Oriente,Activo
559,Residencial,6.0,Occidente,Activo
560,Residencial,5.0,Occidente,Activo
561,Comercial,,Occidente,Activo
562,Residencial,2.0,Norte,Activo
563,Comercial,,Occidente,Activo
564,Residencial,6.0,Centro,Activo
565,Comercial,,Occidente,Activo
566,Residencial,1.0,Sur,Activo
567,Residencial,2.0,Occidente,Activo
568,Residencial,1.0,Centro,Activo
569,Residencial,1.0,Norte,Activo
570,Residencial,5.0,Sur,Activo
571,Residencial,4.0,Occidente,Activo
572,Industrial,,Oriente,Activo
573,Residencial,2.0,Sur,Activo
574,Residencial,5.0,Norte,Activo
575,Residencial,6.0,Centro,Activo
576,Residencial,6.0,Norte,Activo
577,Residencial,2.0,Sur,Activo
578,Residencial,5.0,Occidente,Activo
579,Residencial,2.0,Centro,Activo
580,Residencial,2.0,Centro,Activo
581,Residencial,3.0,Occidente,Activo
582,Residencial,1.0,Oriente,Activo
583,Residencial,1.0,Occidente,Activo
584,Residencial,5.0,Norte,Activo
585,Residencial,1.0,Oriente,Activo
586,Residencial,2.0,Occidente,Activo
587,Residencial,1.0,Centro,Activo
588,Residencial,4.0,Centro,Activo
589,Industrial,,Norte,Activo
590,Residencial,2.0,Norte,Activo
591,Residencial,5.0,Sur,Activo
592,Residencial,5.0,Centro,Activo
593,Industrial,,Norte,Activo
594,Residencial,3.0,Oriente,Activo
595,Residencial,5.0,Sur,Activo
596,Industrial,,Sur,Activo
597,Residencial,1.0,Norte,Activo
598,Residencial,5.0,Centro,Activo
599,Residencial,1.0,Oriente,Activo
600,Residencial,5.0,Centro,Activo
601,Residencial,1.0,Sur,Activo
602,Residencial,4.0,Norte,Activo
603,Comercial,,Sur,Activo
604,Industrial,,Norte,Activo
605,Residencial,2.0,Centro,Activo
606,Residencial,3.0,Sur,Activo
607,Residencial,5.0,Occidente,Activo
608,Comercial,,Oriente,Activo
609,Residencial,3.0,Occidente,Activo
610,Residencial,3.0,Norte,Activo
611,Residencial,2.0,Oriente,Activo
612,Residencial,3.0,Sur,Activo
613,Residencial,3.0,Norte,Activo
614,Residencial,3.0,Sur,Activo
615,Residencial,6.0,Centro,Activo
616,Residencial,1.0,Norte,Activo
617,Residencial,5.0,Centro,Activo
618,Residencial,3.0,Occidente,Activo
619,Residencial,4.0,Oriente,Activo
620,Residencial,5.0,Occidente,Activo
621,Residencial,2.0,Centro,Activo
622,Comercial,,Oriente,Activo
623,Industrial,,Sur,Activo
624,Comercial,,Oriente,Activo
625,Residencial,2.0,Sur,Activo
626,Comercial,,Norte,Activo
627,Residencial,1.0,Centro,Activo
628,Residencial,4.0,Occidente,Activo
629,Residencial,2.0,Occidente,Activo
630,Residencial,1.0,Norte,Activo
631,Residencial,4.0,Occidente,Activo
632,Comercial,,Occidente,Activo
633,Residencial,2.0,Centro,Activo
634,Residencial,2.0,Norte,Activo
635,Industrial,,Norte,Activo
636,Residencial,2.0,Norte,Activo
637,Residencial,2.0,Oriente,Activo
638,Residencial,1.0,Occidente,Activo
639,Residencial,2.0,Centro,Activo
640,Residencial,5.0,Occidente,Activo
641,Residencial,6.0,Centro,Activo
642,Residencial,3.0,Centro,Activo
643,Comercial,,Sur,Activo
644,Residencial,3.0,Occidente,Activo
645,Comercial,,Oriente,Activo
646,Comercial,,Oriente,Activo
647,Comercial,,Norte,Activo
648,Comercial,,Sur,Activo
649,Comercial,,Norte,Activo
650,Residencial,4.0,Norte,Activo
651,Industrial,,Occidente,Activo
652,Residencial,6.0,Occidente,Activo
653,Comercial,,Centro,Activo
654,Residencial,4.0,Sur,Activo
655,Residencial,4.0,Sur,Activo
656,Comercial,,Oriente,Activo
657,Residencial,2.0,Centro,Activo
658,Residencial,5.0,Centro,Activo
659,Residencial,3.0,Norte,Activo
660,Comercial,,Norte,Activo
661,Residencial,4.0,Norte,Activo
662,Residencial,2.0,Centro,Activo
663,Comercial,,Oriente,Activo
664,Comercial,,Norte,Activo
665,Industrial,,Sur,Activo
666,Comercial,,Norte,Activo
667,Residencial,1.0,Norte,Activo
668,Residencial,4.0,Oriente,Activo
669,Residencial,3.0,Norte,Activo
670,Residencial,3.0,Centro,Activo
671,Residencial,5.0,Sur,Activo
672,Residencial,2.0,Norte,Activo
673,Comercial,,Centro,Activo
674,Residencial,5.0,Oriente,Activo
675,Residencial,3.0,Centro,Activo
676,Comercial,,Occidente,Activo
677,Residencial,2.0,Norte,Activo
678,Residencial,6.0,Occidente,Activo
679,Residencial,4.0,Oriente,Activo
680,Residencial,1.0,Centro,Activo
681,Residencial,6.0,Norte,Activo
682,Residencial,1.0,Occidente,Activo
683,Residencial,4.0,Centro,Activo
684,Residencial,2.0,Oriente,Activo
685,Residencial,4.0,Occidente,Activo
686,Residencial,4.0,Norte,Activo
687,Comercial,,Oriente,Activo
688,Comercial,,Sur,Activo
689,Industrial,,Norte,Activo
690,Industrial,,Centro,Activo
691,Industrial,,Centro,Activo
692,Residencial,2.0,Sur,Activo
693,Residencial,3.0,Centro,Activo
694,Residencial,2.0,Norte,Activo
695,Residencial,3.0,Norte,Activo
696,Comercial,,Oriente,Activo
697,Residencial,5.0,Oriente,Activo
698,Residencial,3.0,Norte,Activo
699,Residencial,2.0,Centro,Activo
700,Industrial,,Occidente,Activo
701,Industrial,,Occidente,Activo
702,Residencial,3.0,Occidente,Activo
703,Comercial,,Centro,Activo
704,Comercial,,Occidente,Activo
705,Residencial,6.0,Occidente,Activo
706,Comercial,,Centro,Activo
707,Residencial,5.0,Centro,Activo
708,Residencial,4.0,Centro,Activo
709,Residencial,1.0,Sur,Activo
710,Residencial,3.0,Norte,Activo
711,Comercial,,Occidente,Activo
712,Residencial,2.0,Occidente,Activo
713,Residencial,2.0,Sur,Activo
714,Residencial,2.0,Occidente,Activo
715,Comercial,,Centro,Activo
716,Comercial,,Oriente,Activo
717,Residencial,6.0,Occidente,Activo
718,Industrial,,Oriente,Activo
719,Residencial,5.0,Sur,Activo
720,Residencial,1.0,Norte,Activo
721,Residencial,2.0,Oriente,Activo
722,Comercial,,Occidente,Activo
723,Residencial,1.0,Norte,Activo
724,Residencial,3.0,Oriente,Activo
725,Residencial,4.0,Oriente,Activo
726,Residencial,6.0,Oriente,Activo
727,Industrial,,Occidente,Activo
728,Residencial,1.0,Occidente,Activo
729,Comercial,,Occidente,Activo
730,Comercial,,Occidente,Activo
731,Residencial,6.0,Norte,Activo
732,Comercial,,Sur,Activo
733,Residencial,1.0,Sur,Activo
734,Industrial,,Occidente,Activo
735,Residencial,5.0,Centro,Activo
736,Residencial,6.0,Occidente,Activo
737,Residencial,3.0,Centro,Activo
738,Residencial,3.0,Centro,Activo
739,Comercial,,Sur,Activo
740,Residencial,4.0,Centro,Activo
741,Residencial,2.0,Sur,Activo
742,Residencial,2.0,Norte,Activo
743,Comercial,,Sur,Activo
744,Industrial,,Oriente,Activo
745,Residencial,3.0,Norte,Activo
746,Industrial,,Oriente,Activo
747,Industrial,,Occidente,Activo
748,Comercial,,Sur,Activo
749,Residencial,5.0,Occidente,Activo
750,Residencial,6.0,Occidente,Activo
751,Industrial,,Norte,Activo
752,Residencial,6.0,Oriente,Activo
753,Residencial,4.0,Norte,Activo
754,Residencial,2.0,Centro,Activo
755,Comercial,,Oriente,Activo
